Swimmer,Josh Liendo
Event,100 Free
Opponent,NCAA
Race Date,2024-03-30
Distance,100

Cycle Number,Stroke Rate (seconds),Lap Number
1,1.014923334121704,1
2,1.071772575378418,1
3,1.1667840480804443,1
Turn,Turn,1
4,1.1145517826080322,2
5,1.0593996047973633,2
6,1.0266907215118408,2
7,1.0604174137115479,2
8,1.1229259967803955,2
Turn,Turn,2
9,1.0423476696014404,3
10,1.0738105773925781,3
11,1.0139904022216797,3
12,1.0129749774932861,3
13,1.0702369213104248,3
Half Cycle,0.702690601348877,3
Turn,Turn,3
14,1.0559990406036377,4
15,1.011795997619629,4
16,1.01515793800354,4
17,1.012798547744751,4
18,1.0436077117919922,4
19,1.1031694412231445,4

Whole Race Summary
Average Stroke Rate,Tempo Trend,Breakout Time,Total Race Time
1.06,0.04,4.77,40.20

Lap Summary
Lap Number,Cycles,Avg Stroke Rate (seconds),Tempo Trend (seconds),50 Splits
1,3.0,1.08,0.08,
2,5.0,1.08,0.04,19.28
3,5.5,1.04,0.03,
4,6.0,1.04,0.04,20.92
